Sex,Race/Ethnicity,Age,Stage,AgeadjustedRateper100000,Age-adjusted Rate Standard Error,Age-adjusted Rate Lower Confidence Interval,Age-adjusted Rate Upper Confidence Interval
Female,All Races (includes Hispanic),All Ages,All Stages,127.4873,0.1971,127.1012,127.8743
Female,All Races (includes Hispanic),All Ages,Localized,82.1812,0.1575,81.8729,82.4905
Female,All Races (includes Hispanic),All Ages,Regional,35.4737,0.1055,35.2672,35.681
Female,All Races (includes Hispanic),All Ages,Distant,7.2373,0.0468,7.1459,7.3296
Female,All Races (includes Hispanic),All Ages,Unstaged,2.5951,0.0274,2.5416,2.6495
Female,All Races (includes Hispanic),Ages < 50,All Stages,44.9281,0.1557,44.6233,45.2344
Female,All Races (includes Hispanic),Ages < 50,Localized,25.3284,0.1168,25.1,25.5584
Female,All Races (includes Hispanic),Ages < 50,Regional,16.5279,0.0946,16.343,16.7145
Female,All Races (includes Hispanic),Ages < 50,Distant,2.3798,0.0358,2.3102,2.4511
Female,All Races (includes Hispanic),Ages < 50,Unstaged,0.6919,0.0193,0.6546,0.7308
Female,All Races (includes Hispanic),Ages 50-64,All Stages,272.0127,0.6829,270.6758,273.3545
Female,All Races (includes Hispanic),Ages 50-64,Localized,175.3909,0.5474,174.3197,176.4671
Female,All Races (includes Hispanic),Ages 50-64,Regional,77.2653,0.3656,76.5504,77.9851
Female,All Races (includes Hispanic),Ages 50-64,Distant,15.4055,0.1623,15.089,15.727
Female,All Races (includes Hispanic),Ages 50-64,Unstaged,3.951,0.0821,3.7917,4.1154
Female,All Races (includes Hispanic),Ages 65+,All Stages,428.7094,0.9906,426.7701,430.6553
Female,All Races (includes Hispanic),Ages 65+,Localized,297.1053,0.8265,295.4875,298.7297
Female,All Races (includes Hispanic),Ages 65+,Regional,94.3629,0.4635,93.4567,95.2757
Female,All Races (includes Hispanic),Ages 65+,Distant,25.3577,0.2405,24.8884,25.8335
Female,All Races (includes Hispanic),Ages 65+,Unstaged,11.8835,0.1595,11.5729,12.2004
Female,All Races (includes Hispanic),Ages <15,All Stages,-,-,-,-
Female,All Races (includes Hispanic),Ages <15,Localized,-,-,-,-
Female,All Races (includes Hispanic),Ages <15,Regional,-,-,-,-
Female,All Races (includes Hispanic),Ages <15,Distant,-,-,-,-
Female,All Races (includes Hispanic),Ages <15,Unstaged,-,-,-,-
Female,All Races (includes Hispanic),Ages 15-39,All Stages,22.4065,0.1585,22.0969,22.7193
Female,All Races (includes Hispanic),Ages 15-39,Localized,10.6099,0.1092,10.3968,10.8261
Female,All Races (includes Hispanic),Ages 15-39,Regional,9.7138,0.1043,9.5104,9.9204
Female,All Races (includes Hispanic),Ages 15-39,Distant,1.6678,0.043,1.5845,1.7542
Female,All Races (includes Hispanic),Ages 15-39,Unstaged,0.415,0.0214,0.3741,0.4592
Female,All Races (includes Hispanic),Ages 40-64,All Stages,215.0097,0.4656,214.0982,215.9242
Female,All Races (includes Hispanic),Ages 40-64,Localized,134.4501,0.3661,133.7335,135.1696
Female,All Races (includes Hispanic),Ages 40-64,Regional,66.1292,0.2616,65.6173,66.644
