Sex,Race/Ethnicity,Age,Stage,AgeadjustedRateper100000,Age-adjusted Rate Standard Error,Age-adjusted Rate Lower Confidence Interval,Age-adjusted Rate Upper Confidence Interval
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,38.5775,0.0785,38.4238,38.7317
Both Sexes,All Races (includes Hispanic),All Ages,Localized,14.7455,0.0485,14.6506,14.8408
Both Sexes,All Races (includes Hispanic),All Ages,Regional,13.3238,0.0462,13.2334,13.4148
Both Sexes,All Races (includes Hispanic),All Ages,Distant,8.0771,0.0359,8.0069,8.1479
Both Sexes,All Races (includes Hispanic),All Ages,Unstaged,2.4311,0.0195,2.3929,2.4697
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,7.6136,0.0452,7.5252,7.7028
Both Sexes,All Races (includes Hispanic),Ages < 50,Localized,2.5825,0.0263,2.5313,2.6345
Both Sexes,All Races (includes Hispanic),Ages < 50,Regional,2.7861,0.0274,2.7326,2.8404
Both Sexes,All Races (includes Hispanic),Ages < 50,Distant,1.9509,0.0229,1.9062,1.9964
Both Sexes,All Races (includes Hispanic),Ages < 50,Unstaged,0.2941,0.0089,0.277,0.3121
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,70.0525,0.2487,69.5659,70.5417
Both Sexes,All Races (includes Hispanic),Ages 50-64,Localized,28.0014,0.1578,27.693,28.3123
Both Sexes,All Races (includes Hispanic),Ages 50-64,Regional,23.4603,0.1437,23.1795,23.7436
Both Sexes,All Races (includes Hispanic),Ages 50-64,Distant,15.3658,0.1161,15.1391,15.595
Both Sexes,All Races (includes Hispanic),Ages 50-64,Unstaged,3.2251,0.0534,3.1213,3.3315
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,178.5219,0.4812,177.5799,179.4676
Both Sexes,All Races (includes Hispanic),Ages 65+,Localized,68.6583,0.2991,68.0733,69.2472
Both Sexes,All Races (includes Hispanic),Ages 65+,Regional,61.6328,0.2832,61.0791,62.1903
Both Sexes,All Races (includes Hispanic),Ages 65+,Distant,34.5061,0.2112,34.0933,34.9226
Both Sexes,All Races (includes Hispanic),Ages 65+,Unstaged,13.7246,0.1316,13.4679,13.985
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,0.1659,0.0122,0.1428,0.1916
Both Sexes,All Races (includes Hispanic),Ages <15,Localized,0.1334,0.011,0.1128,0.1567
Both Sexes,All Races (includes Hispanic),Ages <15,Regional,0.0243,0.0047,0.016,0.0354
Both Sexes,All Races (includes Hispanic),Ages <15,Distant,-,-,-,-
Both Sexes,All Races (includes Hispanic),Ages <15,Unstaged,-,-,-,-
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,4.5364,0.0496,4.4396,4.6347
Both Sexes,All Races (includes Hispanic),Ages 15-39,Localized,1.6667,0.0298,1.6088,1.7261
Both Sexes,All Races (includes Hispanic),Ages 15-39,Regional,1.5709,0.0294,1.5139,1.6295
Both Sexes,All Races (includes Hispanic),Ages 15-39,Distant,1.0863,0.0245,1.0388,1.1352
Both Sexes,All Races (includes Hispanic),Ages 15-39,Unstaged,0.2125,0.0107,0.192,0.2346
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,47.2769,0.1524,46.9787,47.5766
Both Sexes,All Races (includes Hispanic),Ages 40-64,Localized,17.9243,0.0933,17.742,18.108
Both Sexes,All Races (includes Hispanic),Ages 40-64,Regional,16.3571,0.09,16.1812,16.5346
Both Sexes,All Races (includes Hispanic),Ages 40-64,Distant,10.9534,0.0738,10.8093,11.099
Both Sexes,All Races (includes Hispanic),Ages 40-64,Unstaged,2.0421,0.0314,1.9811,2.1046
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,135.1976,0.5528,134.1162,136.2855
Both Sexes,All Races (includes Hispanic),Ages 65-74,Localized,54.3205,0.3505,53.6356,55.0119
Both Sexes,All Races (includes Hispanic),Ages 65-74,Regional,46.828,0.3254,46.1924,47.47
Both Sexes,All Races (includes Hispanic),Ages 65-74,Distant,27.6918,0.2499,27.2041,28.186
Both Sexes,All Races (includes Hispanic),Ages 65-74,Unstaged,6.3574,0.1203,6.1238,6.5975
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,225.9281,0.8061,224.3509,227.5135
Both Sexes,All Races (includes Hispanic),Ages 75+,Localized,84.3471,0.4954,83.3789,85.3236
Both Sexes,All Races (includes Hispanic),Ages 75+,Regional,77.8326,0.4742,76.9059,78.7676
Both Sexes,All Races (includes Hispanic),Ages 75+,Distant,41.9624,0.3477,41.2837,42.6494
Both Sexes,All Races (includes Hispanic),Ages 75+,Unstaged,21.786,0.2421,21.314,22.266
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,0.369,0.0155,0.3391,0.4007
Both Sexes,All Races (includes Hispanic),Ages < 20,Localized,0.2873,0.0137,0.2611,0.3155
Both Sexes,All Races (includes Hispanic),Ages < 20,Regional,0.0556,0.006,0.0444,0.0688
Both Sexes,All Races (includes Hispanic),Ages < 20,Distant,0.0176,0.0034,0.0116,0.0256
Both Sexes,All Races (includes Hispanic),Ages < 20,Unstaged,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,39.3049,1.1402,37.1017,41.5968
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,Localized,14.0103,0.6615,12.7435,15.3626
