Sex,Race/Ethnicity,Age,Stage,AgeadjustedRateper100000,Age-adjusted Rate Standard Error,Age-adjusted Rate Lower Confidence Interval,Age-adjusted Rate Upper Confidence Interval
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,54.8762,0.0934,54.6933,55.0595
Both Sexes,All Races (includes Hispanic),All Ages,Localized,11.9112,0.0438,11.8256,11.9974
Both Sexes,All Races (includes Hispanic),All Ages,Regional,11.9336,0.0436,11.8484,12.0193
Both Sexes,All Races (includes Hispanic),All Ages,Distant,27.6883,0.0661,27.5588,27.8182
Both Sexes,All Races (includes Hispanic),All Ages,Unstaged,3.343,0.0231,3.2979,3.3887
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,3.0407,0.0285,2.9852,3.097
Both Sexes,All Races (includes Hispanic),Ages < 50,Localized,0.5127,0.0117,0.4901,0.5361
Both Sexes,All Races (includes Hispanic),Ages < 50,Regional,0.6222,0.0128,0.5973,0.6479
Both Sexes,All Races (includes Hispanic),Ages < 50,Distant,1.8095,0.022,1.7667,1.8531
Both Sexes,All Races (includes Hispanic),Ages < 50,Unstaged,0.0963,0.0051,0.0866,0.1067
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,80.8154,0.2626,80.3016,81.3317
Both Sexes,All Races (includes Hispanic),Ages 50-64,Localized,14.5071,0.1108,14.2908,14.7259
Both Sexes,All Races (includes Hispanic),Ages 50-64,Regional,18.1161,0.1242,17.8734,18.3613
Both Sexes,All Races (includes Hispanic),Ages 50-64,Distant,45.4887,0.1973,45.1028,45.8772
Both Sexes,All Races (includes Hispanic),Ages 50-64,Unstaged,2.7035,0.0479,2.6104,2.799
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,320.8947,0.6499,319.6222,322.1711
Both Sexes,All Races (includes Hispanic),Ages 65+,Localized,74.0965,0.3134,73.4836,74.7133
Both Sexes,All Races (includes Hispanic),Ages 65+,Regional,69.3643,0.3028,68.772,69.9603
Both Sexes,All Races (includes Hispanic),Ages 65+,Distant,154.7419,0.4507,153.8599,155.6277
Both Sexes,All Races (includes Hispanic),Ages 65+,Unstaged,22.692,0.1714,22.3573,23.0305
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,0.0587,0.0072,0.0454,0.0747
Both Sexes,All Races (includes Hispanic),Ages <15,Localized,0.0321,0.0054,0.0225,0.0444
Both Sexes,All Races (includes Hispanic),Ages <15,Regional,-,-,-,-
Both Sexes,All Races (includes Hispanic),Ages <15,Distant,-,-,-,-
Both Sexes,All Races (includes Hispanic),Ages <15,Unstaged,-,-,-,-
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,1.0264,0.0238,0.9802,1.074
Both Sexes,All Races (includes Hispanic),Ages 15-39,Localized,0.2461,0.0115,0.2241,0.2696
Both Sexes,All Races (includes Hispanic),Ages 15-39,Regional,0.201,0.0105,0.1809,0.2227
Both Sexes,All Races (includes Hispanic),Ages 15-39,Distant,0.5374,0.0173,0.5039,0.5724
Both Sexes,All Races (includes Hispanic),Ages 15-39,Unstaged,0.0419,0.0048,0.0331,0.0523
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,45.8751,0.1434,45.5944,46.1572
Both Sexes,All Races (includes Hispanic),Ages 40-64,Localized,8.0686,0.0597,7.952,8.1866
Both Sexes,All Races (includes Hispanic),Ages 40-64,Regional,10.176,0.0673,10.0444,10.309
Both Sexes,All Races (includes Hispanic),Ages 40-64,Distant,26.1193,0.1086,25.9068,26.3332
Both Sexes,All Races (includes Hispanic),Ages 40-64,Unstaged,1.5111,0.0259,1.4608,1.5628
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,269.895,0.785,268.3586,271.438
Both Sexes,All Races (includes Hispanic),Ages 65-74,Localized,63.4148,0.3812,62.6699,64.1663
Both Sexes,All Races (includes Hispanic),Ages 65-74,Regional,62.2024,0.3769,61.4659,62.9455
Both Sexes,All Races (includes Hispanic),Ages 65-74,Distant,132.5287,0.5494,131.4541,133.6098
Both Sexes,All Races (includes Hispanic),Ages 65-74,Unstaged,11.7492,0.1645,11.4289,12.0761
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,376.6995,1.0558,374.6329,378.7744
Both Sexes,All Races (includes Hispanic),Ages 75+,Localized,85.7847,0.5067,84.7944,86.7835
Both Sexes,All Races (includes Hispanic),Ages 75+,Regional,77.2009,0.4818,76.2595,78.1508
Both Sexes,All Races (includes Hispanic),Ages 75+,Distant,179.048,0.7276,177.6248,180.4797
Both Sexes,All Races (includes Hispanic),Ages 75+,Unstaged,34.6659,0.3106,34.0597,35.2801
Both Sexes,All Races (includes Hispanic),Ages < 20,All Stages,0.0762,0.0071,0.0629,0.0914
Both Sexes,All Races (includes Hispanic),Ages < 20,Localized,0.0363,0.0049,0.0273,0.0472
Both Sexes,All Races (includes Hispanic),Ages < 20,Regional,0.0209,0.0037,0.0143,0.0295
Both Sexes,All Races (includes Hispanic),Ages < 20,Distant,0.015,0.0031,0.0095,0.0226
Both Sexes,All Races (includes Hispanic),Ages < 20,Unstaged,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,37.8247,1.1546,35.5954,40.1468
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,Localized,7.0686,0.5005,6.1216,8.1094
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,Regional,8.8791,0.5532,7.8279,10.0222
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,Distant,19.1015,0.8167,17.5341,20.7612
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,Unstaged,2.7756,0.3309,2.1652,3.4881
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,1.0894,0.1969,0.7382,1.5392
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,Localized,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,Regional,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,Distant,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,Unstaged,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,52.4509,2.6654,47.3563,57.9461
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,Localized,8.8921,1.1044,6.8602,11.3374
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,Regional,13.6933,1.3567,11.1637,16.6282
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,Distant,28.0097,1.9488,24.3202,32.1025
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,Unstaged,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,230.8073,8.4959,214.4539,248.0821
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,Localized,44.1372,3.7024,37.1792,52.028
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,Regional,52.3866,4.0288,44.7877,60.9148
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,Distant,114.939,5.9849,103.5068,127.2956
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,Unstaged,19.3445,2.5342,14.6991,24.9755
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,Localized,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,Regional,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,Distant,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,Unstaged,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,Localized,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,Regional,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,Distant,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,Unstaged,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 40-64,All Stages,27.9545,1.3818,25.3114,30.8073
