Sex,Race/Ethnicity,Age,Stage,AgeadjustedRateper100000,Age-adjusted Rate Standard Error,Age-adjusted Rate Lower Confidence Interval,Age-adjusted Rate Upper Confidence Interval
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,12.9242,0.0452,12.8358,13.0131
Both Sexes,All Races (includes Hispanic),All Ages,Localized,1.4953,0.0155,1.4651,1.526
Both Sexes,All Races (includes Hispanic),All Ages,Regional,3.821,0.0246,3.773,3.8696
Both Sexes,All Races (includes Hispanic),All Ages,Distant,6.3664,0.0317,6.3044,6.4288
Both Sexes,All Races (includes Hispanic),All Ages,Unstaged,1.2416,0.014,1.2143,1.2692
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,1.1728,0.0177,1.1383,1.2081
Both Sexes,All Races (includes Hispanic),Ages < 50,Localized,0.2263,0.0078,0.2114,0.2421
Both Sexes,All Races (includes Hispanic),Ages < 50,Regional,0.3431,0.0096,0.3245,0.3624
Both Sexes,All Races (includes Hispanic),Ages < 50,Distant,0.5483,0.0121,0.5247,0.5726
Both Sexes,All Races (includes Hispanic),Ages < 50,Unstaged,0.0552,0.0039,0.0478,0.0632
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,19.835,0.1304,19.5803,20.0922
Both Sexes,All Races (includes Hispanic),Ages 50-64,Localized,2.0103,0.0417,1.9294,2.0938
Both Sexes,All Races (includes Hispanic),Ages 50-64,Regional,6.2844,0.0734,6.1414,6.4299
Both Sexes,All Races (includes Hispanic),Ages 50-64,Distant,10.6376,0.0954,10.4514,10.8262
Both Sexes,All Races (includes Hispanic),Ages 50-64,Unstaged,0.9028,0.0278,0.8491,0.959
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,72.0097,0.306,71.4112,72.612
Both Sexes,All Races (includes Hispanic),Ages 65+,Localized,8.1497,0.1029,7.9492,8.354
Both Sexes,All Races (includes Hispanic),Ages 65+,Regional,20.812,0.1651,20.4896,21.1382
Both Sexes,All Races (includes Hispanic),Ages 65+,Distant,34.6113,0.2125,34.1961,35.0303
Both Sexes,All Races (includes Hispanic),Ages 65+,Unstaged,8.4366,0.1031,8.2358,8.6411
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,0.0332,0.0055,0.0234,0.0458
Both Sexes,All Races (includes Hispanic),Ages <15,Localized,0.0171,0.0039,0.0103,0.0267
Both Sexes,All Races (includes Hispanic),Ages <15,Regional,-,-,-,-
Both Sexes,All Races (includes Hispanic),Ages <15,Distant,-,-,-,-
Both Sexes,All Races (includes Hispanic),Ages <15,Unstaged,-,-,-,-
Both Sexes,All Races (includes Hispanic),Ages 15-39,All Stages,0.5653,0.0176,0.5313,0.6008
Both Sexes,All Races (includes Hispanic),Ages 15-39,Localized,0.1796,0.0098,0.1609,0.1998
Both Sexes,All Races (includes Hispanic),Ages 15-39,Regional,0.1311,0.0085,0.115,0.1488
Both Sexes,All Races (includes Hispanic),Ages 15-39,Distant,0.2234,0.0112,0.202,0.2464
Both Sexes,All Races (includes Hispanic),Ages 15-39,Unstaged,0.0312,0.0041,0.0236,0.0403
Both Sexes,All Races (includes Hispanic),Ages 40-64,All Stages,11.8956,0.074,11.7509,12.0417
Both Sexes,All Races (includes Hispanic),Ages 40-64,Localized,1.309,0.025,1.2604,1.359
Both Sexes,All Races (includes Hispanic),Ages 40-64,Regional,3.7569,0.0416,3.6758,3.8393
Both Sexes,All Races (includes Hispanic),Ages 40-64,Distant,6.2894,0.0536,6.1847,6.3955
Both Sexes,All Races (includes Hispanic),Ages 40-64,Unstaged,0.5404,0.0158,0.5099,0.5723
Both Sexes,All Races (includes Hispanic),Ages 65-74,All Stages,55.1188,0.3537,54.4278,55.8163
Both Sexes,All Races (includes Hispanic),Ages 65-74,Localized,5.2882,0.1097,5.0754,5.5076
Both Sexes,All Races (includes Hispanic),Ages 65-74,Regional,17.7322,0.2004,17.3416,18.1294
Both Sexes,All Races (includes Hispanic),Ages 65-74,Distant,28.8667,0.2558,28.3675,29.3724
Both Sexes,All Races (includes Hispanic),Ages 65-74,Unstaged,3.2316,0.0863,3.0646,3.4053
Both Sexes,All Races (includes Hispanic),Ages 75+,All Stages,90.4921,0.5108,89.4937,91.4988
Both Sexes,All Races (includes Hispanic),Ages 75+,Localized,11.2809,0.179,10.9327,11.6373
Both Sexes,All Races (includes Hispanic),Ages 75+,Regional,24.182,0.2675,23.6606,24.7119
Both Sexes,All Races (includes Hispanic),Ages 75+,Distant,40.8972,0.3459,40.222,41.5808
Both Sexes,All Races (includes Hispanic),Ages 75+,Unstaged,14.132,0.1941,13.7541,14.5178
